id,common_name,scientific_name,description
14,Indian Leopard,Panthera pardus fusca,"An Indian Leopard was noticed near a seasonal waterhole, stalking low through tall grass before disappearing into cover well after nightfall. The animal passed within a few meters of the parked vehicle."
15,Indian Leopard,Panthera pardus fusca,A citizen-science volunteer photographed an Indian Leopard near an irrigation tank. It was observed through binoculars from a considerable distance.
16,Indian Leopard,Panthera pardus fusca,"An adult Indian Leopard was seen seen dragging a kill into denser vegetation near a temple compound surrounded by trees, on a misty morning."
17,Indian Leopard,Panthera pardus fusca,"A rosette-patterned big cat was spotted inside a dry deciduous forest patch just after sunrise, on a warm, humid afternoon. It was seen from a safe distance of roughly fifty meters."
18,Indian Leopard,Panthera pardus fusca,"An adult Indian Leopard appeared near a temple compound surrounded by trees, marking a tree trunk before moving off into the forest. The sighting occurred at close range, barely ten meters away."
19,Indian Leopard,Panthera pardus fusca,"A rosette-patterned big cat appeared at the edge of a grassland clearing, moving with a slow, deliberate gait along the treeline. It was noticed only briefly before vanishing into cover. The sighting took place during the post-monsoon months."
20,Indian Leopard,Panthera pardus fusca,"Local residents reported the Indian Leopard stalking low through tall grass before disappearing into cover inside a dry deciduous forest patch in the early morning haze, on a cool, breezy evening. It was observed through binoculars from a considerable distance. The sighting took place as summer temperatures rose."
21,Asian Elephant,Elephas maximus,"The Asian Elephant was spotted along a narrow forest track during the heat of midday, on a clear, sunny day. It was observed through binoculars from a considerable distance."
22,Asian Elephant,Elephas maximus,"A solitary Asian Elephant was spotted at the edge of a grassland clearing in the early morning haze, under overcast skies. The observer watched quietly from behind a tree for several minutes."
23,Asian Elephant,Elephas maximus,"Local residents reported an Asian Elephant grazing steadily while keeping a young one close by along a mud embankment by a pond in the early morning haze, on a misty morning. It was seen from a safe distance of roughly fifty meters. The sighting took place at the start of the monsoon."
24,Asian Elephant,Elephas maximus,"A solitary Asian Elephant was seen trumpeting once before the group moved on close to a paddy field, during a light drizzle. It was observed through binoculars from a considerable distance."
25,Asian Elephant,Elephas maximus,"Local residents reported a solitary Asian Elephant standing motionless, watching the road before crossing along a narrow forest track in the early morning haze, on a misty morning. It was seen from a safe distance of roughly fifty meters."
26,Asian Elephant,Elephas maximus,A herd of large grey animals was briefly sighted near a canal running through fields before wading through shallow water to reach the far bank. The animal was spotted around thirty meters from the observer. The sighting took place at the start of the monsoon.
27,Asian Elephant,Elephas maximus,"Local residents reported a solitary Asian Elephant grazing steadily while keeping a young one close by along a rocky hillside trail in the cool hours before dawn, after a brief spell of rain. The sighting took place at the start of the monsoon."
28,Asian Elephant,Elephas maximus,"A herd of large grey animals was spotted close to a lakeside reed bed around midday, on a misty morning. The animal was spotted around thirty meters from the observer."
29,Asian Elephant,Elephas maximus,"An adult Asian Elephant was seen moving in a loose line toward a waterhole near the banks of a river, as fog still clung to the ground. It was seen from a safe distance of roughly fifty meters."
30,Asian Elephant,Elephas maximus,"A herd of large grey animals was seen wading through shallow water to reach the far bank close to a forest checkpoint, on a clear, sunny day. The animal was spotted around thirty meters from the observer. The sighting took place as summer temperatures rose."
31,Gaur,Bos gaurus,Field observers logged a massive wild ox using its trunk to strip bark from a tree along a mud embankment by a pond just before sunset. The animal was spotted around thirty meters from the observer.
32,Gaur,Bos gaurus,"A Gaur was seen standing motionless, watching the road before crossing beside a dirt road through farmland, on a warm, humid afternoon. The sighting occurred at close range, barely ten meters away."
33,Gaur,Bos gaurus,"A lone Gaur appeared near a seasonal waterhole, trumpeting once before the group moved on. The animal was spotted around thirty meters from the observer. The sighting took place in early spring."
34,Gaur,Bos gaurus,"During a routine survey, a Gaur was recorded close to a paddy field just before sunset. The sighting occurred at close range, barely ten meters away."
35,Gaur,Bos gaurus,A lone Gaur was briefly sighted at the edge of a grassland clearing before kicking up dust as it crossed an open field. The animal was spotted around thirty meters from the observer.
36,Gaur,Bos gaurus,A massive wild ox was briefly sighted along the edge of a dense forest before trumpeting once before the group moved on.
37,Gaur,Bos gaurus,"A massive wild ox was noticed beside a dirt road through farmland, using its trunk to strip bark from a tree during the heat of midday. The sighting occurred at close range, barely ten meters away. The sighting took place during the post-monsoon months."
38,Gaur,Bos gaurus,"A lone Gaur appeared near a shallow stream, moving in a loose line toward a waterhole. It was noticed only briefly before vanishing into cover."
39,Gaur,Bos gaurus,"A solitary Gaur was noticed at the base of a rocky outcrop, flapping its ears while standing in the shade of a large tree during the heat of midday. The observer watched quietly from behind a tree for several minutes."
40,Gaur,Bos gaurus,"A lone Gaur was observed near a canal running through fields in the late afternoon light, after a brief spell of rain. The observer watched quietly from behind a tree for several minutes."
41,Sambar Deer,Rusa unicolor,"During a routine survey, a large brown deer was recorded along a mud embankment by a pond in the late afternoon light. It was seen from a safe distance of roughly fifty meters."
42,Sambar Deer,Rusa unicolor,"During a routine survey, a lone Sambar Deer was recorded near an irrigation tank around midday. The animal was spotted around thirty meters from the observer. The sighting took place during the dry season."
43,Sambar Deer,Rusa unicolor,Field observers logged a big-antlered deer resting in tall grass with only its head visible near a shallow stream in the early morning haze. It was noticed only briefly before vanishing into cover.
44,Sambar Deer,Rusa unicolor,"A Sambar Deer appeared close to a forest checkpoint, grazing cautiously at the edge of a clearing. The observer watched quietly from behind a tree for several minutes."
45,Sambar Deer,Rusa unicolor,"A citizen-science volunteer photographed a tall forest deer along a mud embankment by a pond, on a cool, breezy evening. It was noticed only briefly before vanishing into cover."
46,Sambar Deer,Rusa unicolor,"During a routine survey, a Sambar Deer was recorded in an open meadow between two forest blocks just before sunset. It was noticed only briefly before vanishing into cover."
47,Sambar Deer,Rusa unicolor,"The Sambar Deer appeared near a canal running through fields, calling out sharply before retreating into the trees. The animal passed within a few meters of the parked vehicle."
48,Sambar Deer,Rusa unicolor,"A lone Sambar Deer was spotted near a seasonal waterhole in the late afternoon light, under a hazy monsoon sky. It was noticed only briefly before vanishing into cover. The sighting took place during the post-monsoon months."
49,Sambar Deer,Rusa unicolor,"Local residents reported the Sambar Deer bounding away in short leaps after noticing the observer near a cluster of banyan trees in the cool hours before dawn, during a light drizzle. It was noticed only briefly before vanishing into cover."
50,Sambar Deer,Rusa unicolor,"The Sambar Deer was seen grazing cautiously at the edge of a clearing at the edge of a grassland clearing, on a misty morning. The sighting took place as summer temperatures rose."
51,Chital,Axis axis,"A Chital appeared near a temple compound surrounded by trees, grazing alongside a herd of cattle in an open field. The sighting took place during the dry season."
52,Chital,Axis axis,"A spotted deer was spotted on a plateau covered in scrub vegetation during the heat of midday, on a dry, dusty afternoon. It was noticed only briefly before vanishing into cover."
53,Chital,Axis axis,"A small spotted deer was spotted in an open meadow between two forest blocks around midday, under a hazy monsoon sky. The sighting occurred at close range, barely ten meters away. The sighting took place in early spring."
54,Chital,Axis axis,"The Chital was seen crossing a shallow stream one by one near an irrigation tank, as fog still clung to the ground. The animal passed within a few meters of the parked vehicle."
55,Chital,Axis axis,"Local residents reported a spotted deer grazing alongside a herd of cattle in an open field along a rocky hillside trail at dusk as shadows lengthened, on a cool, breezy evening. The sighting occurred at close range, barely ten meters away. The sighting took place at the start of the monsoon."
56,Chital,Axis axis,"The Chital was spotted close to a tea garden boundary in the late afternoon light, under overcast skies. It was noticed only briefly before vanishing into cover. The sighting took place as summer temperatures rose."
57,Chital,Axis axis,"The Chital was observed near a canal running through fields well after nightfall, on a clear, sunny day. The observer watched quietly from behind a tree for several minutes."
58,Chital,Axis axis,"Local residents reported a lone Chital grazing alongside a herd of cattle in an open field near a temple compound surrounded by trees well after nightfall, under a hazy monsoon sky. It was observed through binoculars from a considerable distance. The sighting took place during the post-monsoon months."
59,Chital,Axis axis,Field observers logged a solitary Chital resting in tall grass with only its head visible along the edge of a dense forest well after nightfall.
60,Chital,Axis axis,A solitary Chital was spotted close to a lakeside reed bed as the evening light faded. The observer watched quietly from behind a tree for several minutes. The sighting took place at the start of the monsoon.
61,Nilgai,Boselaphus tragocamelus,"Local residents reported a horse-sized antelope grazing cautiously at the edge of a clearing along a rocky hillside trail in the early morning haze, on a dry, dusty afternoon. The animal was spotted around thirty meters from the observer."
62,Nilgai,Boselaphus tragocamelus,"A Nilgai was noticed near a temple compound surrounded by trees, grazing cautiously at the edge of a clearing just after sunrise. The sighting occurred at close range, barely ten meters away. The sighting took place at the start of the monsoon."
63,Nilgai,Boselaphus tragocamelus,"Field observers logged a Nilgai moving in single file along a well-worn path close to a lakeside reed bed in the late afternoon light. The sighting occurred at close range, barely ten meters away."
64,Nilgai,Boselaphus tragocamelus,Field observers logged a Nilgai bounding away in short leaps after noticing the observer near a temple compound surrounded by trees during the heat of midday. The animal was spotted around thirty meters from the observer.
65,Nilgai,Boselaphus tragocamelus,"During a routine survey, a horse-sized antelope was recorded close to a forest checkpoint in the late afternoon light. It was seen from a safe distance of roughly fifty meters."
66,Nilgai,Boselaphus tragocamelus,"A citizen-science volunteer photographed an adult Nilgai on the outskirts of a small village, on a misty morning. The observer watched quietly from behind a tree for several minutes. The sighting took place in early spring."
67,Nilgai,Boselaphus tragocamelus,"A bluish-grey bovine-like animal was spotted beside a bamboo thicket just after sunrise, under a hazy monsoon sky. The observer watched quietly from behind a tree for several minutes."
68,Nilgai,Boselaphus tragocamelus,A solitary Nilgai was briefly sighted near the banks of a river before moving in single file along a well-worn path.
69,Nilgai,Boselaphus tragocamelus,"An adult Nilgai was spotted along a rocky hillside trail at dusk as shadows lengthened, on a warm, humid afternoon."
70,Nilgai,Boselaphus tragocamelus,"A citizen-science volunteer photographed a solitary Nilgai beside a bamboo thicket, on a dry, dusty afternoon."
71,Blackbuck,Antilope cervicapra,"A solitary Blackbuck was observed along the perimeter fence of a nature reserve around midday, on a warm, humid afternoon."
72,Blackbuck,Antilope cervicapra,"A spiral-horned antelope appeared near a seasonal waterhole, moving in single file along a well-worn path. It was noticed only briefly before vanishing into cover."
73,Blackbuck,Antilope cervicapra,"During a routine survey, a solitary Blackbuck was recorded in an open meadow between two forest blocks around midday. The animal passed within a few meters of the parked vehicle. The sighting took place in the middle of winter."
74,Blackbuck,Antilope cervicapra,"A slender running antelope was spotted at the edge of a grassland clearing at dusk as shadows lengthened, under overcast skies. It was observed through binoculars from a considerable distance. The sighting took place at the start of the monsoon."
75,Blackbuck,Antilope cervicapra,"Local residents reported an adult Blackbuck moving in single file along a well-worn path near a temple compound surrounded by trees around midday, on a clear, sunny day. It was observed through binoculars from a considerable distance. The sighting took place in the middle of winter."
76,Blackbuck,Antilope cervicapra,"During a routine survey, a dark-backed antelope was recorded along the edge of a dense forest around midday. The animal was spotted around thirty meters from the observer."
77,Blackbuck,Antilope cervicapra,"The Blackbuck was spotted near an irrigation tank in the cool hours before dawn, under overcast skies. The animal passed within a few meters of the parked vehicle. The sighting took place during the post-monsoon months."
78,Blackbuck,Antilope cervicapra,"The Blackbuck was seen bounding away in short leaps after noticing the observer near a shallow stream, on a dry, dusty afternoon. The observer watched quietly from behind a tree for several minutes."
79,Blackbuck,Antilope cervicapra,"A Blackbuck appeared close to a paddy field, bounding away in short leaps after noticing the observer. It was observed through binoculars from a considerable distance."
80,Blackbuck,Antilope cervicapra,"During a routine survey, an adult Blackbuck was recorded at the base of a rocky outcrop as the evening light faded."
81,Sloth Bear,Melursus ursinus,"A lone Sloth Bear was observed along a mud embankment by a pond in the early morning haze, during a light drizzle. It was seen from a safe distance of roughly fifty meters. The sighting took place at the start of the monsoon."
82,Sloth Bear,Melursus ursinus,"An adult Sloth Bear was spotted along the perimeter fence of a nature reserve just before sunset, on a misty morning. The animal passed within a few meters of the parked vehicle. The sighting took place in early spring."
83,Sloth Bear,Melursus ursinus,Local residents reported a shaggy black bear digging at the base of a tree stump along a rocky hillside trail as the evening light faded. It was seen from a safe distance of roughly fifty meters.
84,Sloth Bear,Melursus ursinus,"A long-snouted bear was seen climbing a tree to reach a beehive close to a paddy field, on a misty morning. The animal passed within a few meters of the parked vehicle. The sighting took place during the post-monsoon months."
85,Sloth Bear,Melursus ursinus,"A lone Sloth Bear was seen resting in a shallow depression beneath a rocky overhang close to a tea garden boundary, after a brief spell of rain."
86,Sloth Bear,Melursus ursinus,Field observers logged a solitary Sloth Bear moving quickly into thick cover after being startled in an open meadow between two forest blocks at dusk as shadows lengthened. It was seen from a safe distance of roughly fifty meters.
87,Sloth Bear,Melursus ursinus,"A Sloth Bear was spotted near a temple compound surrounded by trees just before sunset, on a clear, sunny day."
88,Sloth Bear,Melursus ursinus,A shaggy black bear was briefly sighted close to a lakeside reed bed before wandering close to farmland in search of fruit. The sighting took place in the middle of winter.
89,Sloth Bear,Melursus ursinus,"A Sloth Bear appeared near the banks of a river, moving quickly into thick cover after being startled. The observer watched quietly from behind a tree for several minutes."
90,Sloth Bear,Melursus ursinus,A Sloth Bear was briefly sighted on a plateau covered in scrub vegetation before moving quickly into thick cover after being startled. It was seen from a safe distance of roughly fifty meters.
91,Wild Boar,Sus scrofa,"A solitary Wild Boar was spotted near a temple compound surrounded by trees just after sunrise, on a warm, humid afternoon. The sighting occurred at close range, barely ten meters away."
92,Wild Boar,Sus scrofa,"A solitary Wild Boar appeared on the outskirts of a small village, trotting quickly across the road ahead of a vehicle. The sighting occurred at close range, barely ten meters away. The sighting took place in the middle of winter."
93,Wild Boar,Sus scrofa,"During a routine survey, a solitary Wild Boar was recorded beside a dirt road through farmland in the late afternoon light. The sighting occurred at close range, barely ten meters away."
94,Wild Boar,Sus scrofa,"Local residents reported a bristly tusked animal trotting quickly across the road ahead of a vehicle near a canal running through fields in the cool hours before dawn, on a dry, dusty afternoon. The sighting occurred at close range, barely ten meters away."
95,Wild Boar,Sus scrofa,"A dark-coated wild pig appeared in an open meadow between two forest blocks, foraging near the edge of a cultivated field. It was noticed only briefly before vanishing into cover."
96,Wild Boar,Sus scrofa,"A lone Wild Boar was noticed along the edge of a dense forest, digging near the base of a termite mound just before sunset."
97,Wild Boar,Sus scrofa,"A citizen-science volunteer photographed a solitary Wild Boar along a narrow forest track, on a cool, breezy evening. The observer watched quietly from behind a tree for several minutes."
98,Wild Boar,Sus scrofa,"The Wild Boar was spotted close to a lakeside reed bed well after nightfall, on a warm, humid afternoon. It was noticed only briefly before vanishing into cover."
99,Wild Boar,Sus scrofa,"A bristly tusked animal was seen rooting through the soil with its snout close to a forest checkpoint, on a dry, dusty afternoon. It was noticed only briefly before vanishing into cover."
100,Wild Boar,Sus scrofa,"A solitary Wild Boar was noticed on the outskirts of a small village, wallowing in a muddy patch beside the trail around midday. The observer watched quietly from behind a tree for several minutes."
101,Indian Wolf,Canis lupus pallipes,"During a routine survey, a lone Indian Wolf was recorded near an irrigation tank in the cool hours before dawn. It was seen from a safe distance of roughly fifty meters."
102,Indian Wolf,Canis lupus pallipes,"During a routine survey, an Indian Wolf was recorded near a canal running through fields in the early morning haze. The sighting occurred at close range, barely ten meters away."
103,Indian Wolf,Canis lupus pallipes,"Local residents reported an Indian Wolf resting in the shade of a low bush during the afternoon heat beside a bamboo thicket just after sunrise, after a brief spell of rain. The observer watched quietly from behind a tree for several minutes."
104,Indian Wolf,Canis lupus pallipes,"Local residents reported a slender wild dog-like animal moving in a loose pack across open scrubland along a mud embankment by a pond during the heat of midday, during a light drizzle. The observer watched quietly from behind a tree for several minutes. The sighting took place as summer temperatures rose."
105,Indian Wolf,Canis lupus pallipes,"An adult Indian Wolf was observed close to a paddy field in the late afternoon light, on a dry, dusty afternoon. The animal passed within a few meters of the parked vehicle."
106,Indian Wolf,Canis lupus pallipes,"During a routine survey, a solitary Indian Wolf was recorded near a seasonal waterhole around midday. It was noticed only briefly before vanishing into cover."
107,Indian Wolf,Canis lupus pallipes,"A pale grey wolf was spotted close to a tea garden boundary just before sunset, on a dry, dusty afternoon. The observer watched quietly from behind a tree for several minutes."
108,Indian Wolf,Canis lupus pallipes,"During a routine survey, an Indian Wolf was recorded inside a dry deciduous forest patch well after nightfall. The animal passed within a few meters of the parked vehicle. The sighting took place in early spring."
109,Indian Wolf,Canis lupus pallipes,"During a routine survey, a solitary Indian Wolf was recorded along a rocky hillside trail just after sunrise."
110,Indian Wolf,Canis lupus pallipes,"A lean wild canine was noticed at the base of a rocky outcrop, seen scavenging near the edge of a rubbish pile at dusk as shadows lengthened. The animal passed within a few meters of the parked vehicle."
111,Golden Jackal,Canis aureus,"A lone Golden Jackal appeared in an open meadow between two forest blocks, moving in a loose pack across open scrubland. It was noticed only briefly before vanishing into cover."
112,Golden Jackal,Canis aureus,"The Golden Jackal was noticed along a rocky hillside trail, howling faintly in the distance before falling silent in the cool hours before dawn."
113,Golden Jackal,Canis aureus,"During a routine survey, the Golden Jackal was recorded along a mud embankment by a pond well after nightfall. The observer watched quietly from behind a tree for several minutes."
114,Golden Jackal,Canis aureus,"Local residents reported a fox-like wild dog chasing a small rodent through dry grass on the fringes of a wetland just before sunset, on a clear, sunny day. It was seen from a safe distance of roughly fifty meters. The sighting took place in early spring."
115,Golden Jackal,Canis aureus,"During a routine survey, a slender jackal-like animal was recorded along a narrow forest track at dusk as shadows lengthened."
116,Golden Jackal,Canis aureus,"Local residents reported a Golden Jackal trotting past a village boundary just after dark close to a paddy field just after sunrise, on a misty morning. It was seen from a safe distance of roughly fifty meters."
117,Golden Jackal,Canis aureus,"The Golden Jackal was seen moving quietly along a canal bank at dusk close to a forest checkpoint, on a cool, breezy evening. The sighting occurred at close range, barely ten meters away."
118,Golden Jackal,Canis aureus,"Local residents reported an adult Golden Jackal resting in the shade of a low bush during the afternoon heat near a canal running through fields just before sunset, on a misty morning."
119,Golden Jackal,Canis aureus,"Local residents reported a Golden Jackal resting in the shade of a low bush during the afternoon heat along a mud embankment by a pond at dusk as shadows lengthened, as fog still clung to the ground. The observer watched quietly from behind a tree for several minutes."
120,Golden Jackal,Canis aureus,A citizen-science volunteer photographed a fox-like wild dog beside a dirt road through farmland. The animal was spotted around thirty meters from the observer.
121,Indian Fox,Vulpes bengalensis,"The Indian Fox was noticed at the base of a rocky outcrop, moving in a loose pack across open scrubland just after sunrise. The animal passed within a few meters of the parked vehicle."
122,Indian Fox,Vulpes bengalensis,"A citizen-science volunteer photographed an Indian Fox along a mud embankment by a pond, during a light drizzle. It was observed through binoculars from a considerable distance. The sighting took place as summer temperatures rose."
123,Indian Fox,Vulpes bengalensis,"A lone Indian Fox was spotted near a shallow stream during the heat of midday, under a hazy monsoon sky. It was seen from a safe distance of roughly fifty meters."
124,Indian Fox,Vulpes bengalensis,"An adult Indian Fox appeared close to a lakeside reed bed, sniffing around the base of a bush before moving on. The animal was spotted around thirty meters from the observer. The sighting took place in early spring."
125,Indian Fox,Vulpes bengalensis,"A small wild canine was spotted along the edge of a dense forest just after sunrise, on a dry, dusty afternoon. It was seen from a safe distance of roughly fifty meters. The sighting took place during the post-monsoon months."
126,Indian Fox,Vulpes bengalensis,Field observers logged an Indian Fox howling faintly in the distance before falling silent beside a bamboo thicket as the evening light faded. The animal passed within a few meters of the parked vehicle.
127,Indian Fox,Vulpes bengalensis,"A slender grey fox was seen trotting past a village boundary just after dark close to a forest checkpoint, as fog still clung to the ground. The observer watched quietly from behind a tree for several minutes."
128,Indian Fox,Vulpes bengalensis,"An adult Indian Fox was spotted in an open meadow between two forest blocks in the late afternoon light, under a hazy monsoon sky. The observer watched quietly from behind a tree for several minutes. The sighting took place in the middle of winter."
129,Indian Fox,Vulpes bengalensis,"A small wild canine was spotted on the outskirts of a small village at dusk as shadows lengthened, under a hazy monsoon sky. It was noticed only briefly before vanishing into cover. The sighting took place at the start of the monsoon."
130,Indian Fox,Vulpes bengalensis,"An Indian Fox appeared beside a dirt road through farmland, moving in a loose pack across open scrubland. The animal was spotted around thirty meters from the observer."
131,Indian Pangolin,Manis crassicaudata,"A lone Indian Pangolin was seen sniffing along the base of a tree trunk on the outskirts of a small village, as fog still clung to the ground. The sighting took place at the start of the monsoon."
132,Indian Pangolin,Manis crassicaudata,"A nocturnal scaly animal appeared on the fringes of a wetland, sniffing along the base of a tree trunk. The observer watched quietly from behind a tree for several minutes."
133,Indian Pangolin,Manis crassicaudata,"During a routine survey, an adult Indian Pangolin was recorded at the base of a rocky outcrop around midday. The animal was spotted around thirty meters from the observer."
134,Indian Pangolin,Manis crassicaudata,"An armored, scale-covered mammal was noticed beside a bamboo thicket, moving slowly across a forest path after dark at dusk as shadows lengthened. The observer watched quietly from behind a tree for several minutes."
135,Indian Pangolin,Manis crassicaudata,"An Indian Pangolin was noticed beside a dirt road through farmland, walking with a slow, deliberate gait near a rice field around midday. The sighting took place in the middle of winter."
136,Indian Pangolin,Manis crassicaudata,"Field observers logged a lone Indian Pangolin digging into a termite mound with strong claws near a temple compound surrounded by trees as the evening light faded. The sighting occurred at close range, barely ten meters away. The sighting took place at the start of the monsoon."
137,Indian Pangolin,Manis crassicaudata,"During a routine survey, an Indian Pangolin was recorded along a rocky hillside trail in the cool hours before dawn. The sighting took place during the post-monsoon months."
138,Indian Pangolin,Manis crassicaudata,"During a routine survey, an adult Indian Pangolin was recorded on the outskirts of a small village at dusk as shadows lengthened. The sighting took place as summer temperatures rose."
139,Indian Pangolin,Manis crassicaudata,"A solitary Indian Pangolin was noticed at the base of a rocky outcrop, shuffling into a burrow entrance before vanishing just after sunrise. It was observed through binoculars from a considerable distance."
140,Indian Pangolin,Manis crassicaudata,"An armored, scale-covered mammal was noticed near a seasonal waterhole, found near a burrow freshly dug into the soil at dusk as shadows lengthened. The observer watched quietly from behind a tree for several minutes. The sighting took place at the start of the monsoon."
141,Indian Hare,Lepus nigricollis,"A wild hare was seen moving cautiously along the edge of a fallow field beside a bamboo thicket, under a hazy monsoon sky. The observer watched quietly from behind a tree for several minutes. The sighting took place in the middle of winter."
142,Indian Hare,Lepus nigricollis,"A long-eared brown mammal was seen seen crossing a dirt track just after dusk near the banks of a river, on a dry, dusty afternoon. The observer watched quietly from behind a tree for several minutes."
143,Indian Hare,Lepus nigricollis,"During a routine survey, the Indian Hare was recorded near a canal running through fields as the evening light faded. The observer watched quietly from behind a tree for several minutes."
144,Indian Hare,Lepus nigricollis,"A lone Indian Hare appeared inside a dry deciduous forest patch, spotted briefly in headlights before disappearing into scrub. It was seen from a safe distance of roughly fifty meters. The sighting took place as summer temperatures rose."
145,Indian Hare,Lepus nigricollis,"A lone Indian Hare was noticed on the fringes of a wetland, grazing quietly at the edge of a cultivated plot during the heat of midday. The animal passed within a few meters of the parked vehicle."
146,Indian Hare,Lepus nigricollis,Field observers logged an Indian Hare moving cautiously along the edge of a fallow field near the banks of a river in the cool hours before dawn.
147,Indian Hare,Lepus nigricollis,"During a routine survey, a small quick-footed hare was recorded beside a bamboo thicket at dusk as shadows lengthened."
148,Indian Hare,Lepus nigricollis,"An adult Indian Hare was observed near a shallow stream at dusk as shadows lengthened, as fog still clung to the ground. The sighting took place during the post-monsoon months."
149,Indian Hare,Lepus nigricollis,Field observers logged a lone Indian Hare moving cautiously along the edge of a fallow field beside a dirt road through farmland in the early morning haze. The observer watched quietly from behind a tree for several minutes.
150,Indian Hare,Lepus nigricollis,"An Indian Hare was noticed on a plateau covered in scrub vegetation, seen crossing a dirt track just after dusk as the evening light faded."
151,Rhesus Macaque,Macaca mulatta,"During a routine survey, a solitary Rhesus Macaque was recorded on a plateau covered in scrub vegetation around midday. It was noticed only briefly before vanishing into cover. The sighting took place in the middle of winter."
152,Rhesus Macaque,Macaca mulatta,"A troop of brown monkeys appeared along a mud embankment by a pond, grooming one another on a low branch. It was noticed only briefly before vanishing into cover."
153,Rhesus Macaque,Macaca mulatta,"During a routine survey, a lone Rhesus Macaque was recorded along a rocky hillside trail as the evening light faded. The sighting occurred at close range, barely ten meters away."
154,Rhesus Macaque,Macaca mulatta,"A citizen-science volunteer photographed a solitary Rhesus Macaque close to a paddy field, under overcast skies. The observer watched quietly from behind a tree for several minutes."
155,Rhesus Macaque,Macaca mulatta,"An adult Rhesus Macaque was noticed beside a dirt road through farmland, moving noisily through the canopy overhead well after nightfall. It was noticed only briefly before vanishing into cover."
156,Rhesus Macaque,Macaca mulatta,"During a routine survey, a troop of brown monkeys was recorded near a temple compound surrounded by trees in the cool hours before dawn. The sighting occurred at close range, barely ten meters away."
157,Rhesus Macaque,Macaca mulatta,"A Rhesus Macaque was briefly sighted near a cluster of banyan trees before moving noisily through the canopy overhead. The sighting occurred at close range, barely ten meters away. The sighting took place as summer temperatures rose."
158,Rhesus Macaque,Macaca mulatta,"Local residents reported the Rhesus Macaque descending to the ground to search for food scraps close to a tea garden boundary as the evening light faded, during a light drizzle. The observer watched quietly from behind a tree for several minutes."
159,Rhesus Macaque,Macaca mulatta,"A band of macaques was spotted near a seasonal waterhole in the cool hours before dawn, on a warm, humid afternoon. The animal passed within a few meters of the parked vehicle."
160,Rhesus Macaque,Macaca mulatta,"The Rhesus Macaque appeared on the fringes of a wetland, raiding a fruit stall before scattering quickly. The observer watched quietly from behind a tree for several minutes. The sighting took place as summer temperatures rose."
161,Bonnet Macaque,Macaca radiata,"An adult Bonnet Macaque was noticed on the outskirts of a small village, raiding a fruit stall before scattering quickly just before sunset."
162,Bonnet Macaque,Macaca radiata,"A Bonnet Macaque appeared inside a dry deciduous forest patch, calling loudly from the treetops. The animal was spotted around thirty meters from the observer. The sighting took place during the post-monsoon months."
163,Bonnet Macaque,Macaca radiata,"A citizen-science volunteer photographed a troop of small monkeys beside a dirt road through farmland, on a warm, humid afternoon. It was seen from a safe distance of roughly fifty meters."
164,Bonnet Macaque,Macaca radiata,Field observers logged the Bonnet Macaque descending to the ground to search for food scraps close to a paddy field just after sunrise. The sighting took place during the post-monsoon months.
